0.782 0.356 0.183 0.141 0.225 0.336 0.390 0.343 0.244 0.192 0.248 0.217 0.150 0.126 0.071 0.034
0.388 1.536 0.564 0.164 0.131 0.254 0.311 0.354 0.314 0.168 0.144 0.156 0.151 0.110 0.047 0.036
0.125 0.700 2.480 0.405 0.253 0.210 0.242 0.297 0.360 0.254 0.179 0.117 0.085 0.086 0.055 0.049
0.071 0.237 1.103 3.459 0.790 0.362 0.230 0.282 0.303 0.299 0.145 0.075 0.058 0.051 0.027 0.019
0.096 0.128 0.191 1.289 1.967 0.762 0.452 0.308 0.252 0.326 0.212 0.147 0.062 0.046 0.046 0.037
0.162 0.089 0.080 0.327 0.861 1.076 0.613 0.421 0.296 0.297 0.269 0.151 0.062 0.045 0.025 0.013
0.164 0.123 0.187 0.156 0.388 0.559 0.703 0.515 0.340 0.288 0.313 0.237 0.113 0.080 0.037 0.035
0.153 0.189 0.143 0.110 0.248 0.427 0.535 0.669 0.490 0.349 0.254 0.212 0.189 0.129 0.069 0.028
0.110 0.150 0.235 0.158 0.267 0.314 0.435 0.482 0.549 0.371 0.272 0.134 0.133 0.092 0.063 0.027
0.037 0.064 0.083 0.166 0.215 0.261 0.321 0.367 0.370 0.421 0.351 0.169 0.125 0.080 0.065 0.051
0.063 0.124 0.141 0.218 0.376 0.468 0.344 0.342 0.406 0.504 0.423 0.352 0.223 0.120 0.071 0.049
0.090 0.084 0.090 0.112 0.265 0.437 0.454 0.386 0.396 0.310 0.487 0.477 0.322 0.177 0.089 0.049
0.063 0.072 0.062 0.103 0.205 0.309 0.320 0.393 0.356 0.320 0.310 0.403 0.365 0.262 0.166 0.072
0.059 0.081 0.052 0.057 0.157 0.241 0.305 0.280 0.280 0.247 0.292 0.333 0.329 0.282 0.135 0.083
0.020 0.044 0.064 0.125 0.109 0.156 0.161 0.229 0.282 0.236 0.207 0.217 0.371 0.329 0.274 0.103
0.031 0.034 0.050 0.029 0.059 0.078 0.148 0.122 0.122 0.168 0.131 0.133 0.131 0.172 0.135 0.094
